x,y,channel
202.5,204.74358974358975,black
247.0,209.5,black
272.9189189189189,225.0810810810811,black
358.2564102564103,255.5,black
190.5,258.16883116883116,black
455.0810810810811,272.0810810810811,black
593.3506493506494,272.35064935064935,black
297.0,277.11486486486484,black
520.5,280.7435897435897,black
796.6601307189543,289.6928104575163,black
390.64935064935065,318.35064935064935,black
485.37012987012986,322.72727272727275,black
737.6516129032258,329.76774193548385,black
688.2727272727273,331.37012987012986,black
794.3181818181819,355.73376623376623,black
881.1688311688312,355.5,black
489.56493506493507,356.9415584415584,black
451.541935483871,361.18709677419355,black
637.8441558441558,365.72727272727275,black
565.7933333333333,374.0,black
815.8851351351351,415.0,black
731.9032258064516,433.3483870967742,black
936.5,449.0,black
504.35064935064935,454.35064935064935,black
604.6987179487179,457.4230769230769,black
802.8851351351351,500.0,black
880.5935483870968,507.7548387096774,black
641.8026315789474,533.1973684210526,black
960.3483870967742,543.7677419354839,black
710.5414012738853,556.2738853503184,black
926.3506493506494,562.6493506493506,black
825.7435897435897,575.5,black
675.5,613.8311688311688,black
576.5,620.0,black
830.7171052631579,638.0,black
719.8851351351351,646.0,black
897.5,658.0,black
644.8311688311688,693.5,black
943.2564102564103,714.5,black
799.5,721.1688311688312,black
829.0,731.7933333333333,black
749.2645161290322,756.2,black
857.2828947368421,788.0,black
718.5,800.0,black
924.7549668874173,818.0264900662252,black
780.3506493506494,899.6493506493506,black
929.7662337662338,908.2337662337662,black
876.3986928104575,911.5424836601308,black
793.3506493506494,972.6493506493506,black
942.3506493506494,986.6493506493506,black
862.0,1019.5,black
920.3935483870968,1058.3354838709677,black
814.9607843137255,1093.6928104575163,black
859.3161290322581,1119.3806451612904,black
903.0,1131.717105263158,black
847.5414012738853,1181.7261146496814,black
918.5,1230.7435897435898,black
859.6645161290322,1251.6064516129031,black
862.0,1309.1148648648648,black
923.5,1377.2564102564102,black
892.3012820512821,1387.576923076923,black
960.5,1426.4155844155844,black
911.1688311688312,1448.5,black
985.3506493506494,1466.6493506493507,black
972.5,1523.0,black
934.4177215189874,1550.9113924050632,black
1027.5,1575.2564102564102,black
991.0,1608.5,black
955.9607843137255,1648.5228758169935,black
1021.6064516129032,1674.1612903225807,black
948.5,1718.1688311688313,black
973.2066666666667,1755.0,black
964.7548387096774,1861.5935483870967,black
710.5424836601308,295.39869281045753,cyan
736.6493506493506,299.35064935064935,cyan
657.6064516129032,300.16129032258067,cyan
779.0392156862745,301.47712418300654,cyan
613.2703583061889,315.7035830618893,cyan
835.1148648648649,316.0,cyan
683.918918918919,317.0810810810811,cyan
747.0392156862745,320.3071895424837,cyan
715.918918918919,321.0810810810811,cyan
572.1870967741935,333.541935483871,cyan
847.3354838709678,343.39354838709676,cyan
789.0392156862745,347.47712418300654,cyan
587.4903225806452,357.78709677419357,cyan
860.5414012738853,364.7261146496815,cyan
546.6298701298701,396.72727272727275,cyan
882.5,405.0,cyan
558.5,423.2564102564103,cyan
622.6493506493506,435.64935064935065,cyan
540.5,461.16883116883116,cyan
903.7435897435897,465.5,cyan
946.8116883116883,471.35714285714283,cyan
822.0533333333333,478.16,cyan
916.1610738255033,482.99328859060404,cyan
568.7435897435897,486.5,cyan
933.5813953488372,517.3139534883721,cyan
563.0,535.3701298701299,cyan
927.9672131147541,548.9180327868852,cyan
688.5,570.0,cyan
953.6064516129032,572.1612903225806,cyan
611.3506493506494,578.6493506493506,cyan
574.7662337662338,581.7662337662338,cyan
932.3614457831326,623.3614457831326,cyan
621.0387096774193,624.6064516129032,cyan
631.5757575757576,659.0,cyan
937.7297297297297,668.2702702702703,cyan
764.3161290322581,668.6193548387097,cyan
654.0387096774193,703.3935483870968,cyan
917.5,721.5,cyan
713.0264900662252,750.2450331125827,cyan
707.3506493506494,770.6493506493506,cyan
918.5,771.5,cyan
881.3295454545455,800.0340909090909,cyan
786.5,811.0,cyan
837.5512820512821,815.2307692307693,cyan
762.8831168831168,824.6103896103896,cyan
796.0730593607306,836.0,cyan
897.9415584415584,840.4350649350649,cyan
841.6037735849056,856.5,cyan
429.6645161290323,262.39354838709676,red
409.52287581699346,268.96078431372547,red
425.7435897435897,281.5,red
390.8806451612903,288.3709677419355,red
445.6375,288.24375,red
417.5,301.16883116883116,red
429.9415584415584,312.56493506493507,red
884.1148648648649,937.0,red
896.4197952218431,949.8464163822525,red
864.9415584415584,948.4350649350649,red
901.1610738255033,963.006711409396,red
877.6493506493506,970.3506493506494,red
897.4368932038835,986.7087378640776,red
935.4774193548387,1293.1290322580646,red
919.3935483870968,1296.3354838709677,red
899.7320261437909,1297.888888888889,red
917.2738853503184,1312.5414012738854,red
885.6193548387097,1314.316129032258,red
936.3935483870968,1317.3354838709677,red
901.16,1324.9466666666667,red
917.3935483870968,1334.6645161290323,red
936.3935483870968,1344.6645161290323,red
179.30128205128204,186.42307692307693,magenta
155.64935064935065,196.64935064935065,magenta
172.5,213.0,magenta
253.38064516129032,221.31612903225806,magenta
222.76623376623377,226.76623376623377,magenta
364.3806451612903,228.31612903225806,magenta
268.0,230.7171052631579,magenta
206.35064935064935,233.64935064935065,magenta
316.5,233.16883116883116,magenta
178.69871794871796,237.42307692307693,magenta
251.64935064935065,254.94805194805195,magenta
207.24503311258277,263.97350993377484,magenta
317.84415584415586,271.72727272727275,magenta
233.27272727272728,276.15584415584414,magenta
283.0,297.2828947368421,magenta
332.5,306.0,magenta
1025.3614457831325,1542.3614457831325,magenta
919.7692307692307,1566.551282051282,magenta
1033.0,1575.717105263158,magenta
1052.5,1600.2564102564102,magenta
1012.8129032258065,1604.541935483871,magenta
924.1523178807947,1620.1920529801325,magenta
1041.2727272727273,1637.3701298701299,magenta
1000.0451612903225,1670.6709677419356,magenta
933.5649350649351,1670.9415584415585,magenta
1030.5,1701.7435897435898,magenta
936.3701298701299,1709.7272727272727,magenta
966.7581699346405,1714.18954248366,magenta
1005.0,1719.2066666666667,magenta
1012.2738853503184,1737.4585987261146,magenta
949.1148648648649,1755.0,magenta
1001.1558441558442,1770.7272727272727,magenta
970.3506493506494,1772.3506493506493,magenta
944.1612903225806,1808.3935483870969,magenta
980.5,1810.2564102564102,magenta
982.7933333333333,1836.0,magenta
945.4230769230769,1842.698717948718,magenta
975.3483870967742,1853.7677419354839,magenta
966.0,1888.2066666666667,magenta
974.2337662337662,1913.2337662337663,magenta
854.5512820512821,428.7692307692308,green
707.8387096774194,452.39354838709676,green
797.0794701986755,486.19867549668874,green
629.7581699346405,491.18954248366015,green
751.8311688311688,497.5,green
786.0533333333333,511.16,green
